sample,condition_2,experimentSet,publicationName
A006200072_119952,control,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119954,control,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119956,control,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119958,SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119960,SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119962,SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119964,SMG7_KO_2,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119966,SMG7_KO_2,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119968,SMG7_KO_2,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119970,SMG7_KO_2_SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119972,SMG7_KO_2_SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119974,SMG7_KO_2_SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119976,SMG7_KO_2_SMG6_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119978,SMG7_KO_2_SMG6_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119980,SMG7_KO_2_SMG6_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119982,SMG7_KO_34,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119984,SMG7_KO_34,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119986,SMG7_KO_34,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119988,SMG7_KO_34_SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119990,SMG7_KO_34_SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119992,SMG7_KO_34_SMG5_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119994,SMG7_KO_34_SMG6_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119996,SMG7_KO_34_SMG6_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200072_119998,SMG7_KO_34_SMG6_KD,HEK293_SMG567_KO_KD_Boehm_2021,Boehm et al. 2021
A006200071_119401,control,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119403,control,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119405,control,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119407,UPF3BKO,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119409,UPF3BKO,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119411,UPF3BKO,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119413,UPF3dKO1,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119415,UPF3dKO1,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119417,UPF3dKO1,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119419,UPF3dKO1KD,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119421,UPF3dKO1KD,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119423,UPF3dKO1KD,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119425,UPF3dKO2,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119427,UPF3dKO2,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119429,UPF3dKO2,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119431,UPF3dKO2KD,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119433,UPF3dKO2KD,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
A006200071_119435,UPF3dKO2KD,HEK293_UPF3_dKO_Wallmeroth_2022,Wallmeroth et al. 2022
191495,control,HCT116_UPF1_AID_degradation,UPF1 AID degradation
191498,control,HCT116_UPF1_AID_degradation,UPF1 AID degradation
191500,control,HCT116_UPF1_AID_degradation,UPF1 AID degradation
191502,control_48h,HCT116_UPF1_AID_degradation,UPF1 AID degradation
191504,control_48h,HCT116_UPF1_AID_degradation,UPF1 AID degradation
191506,control_48h,HCT116_UPF1_AID_degradation,UPF1 AID degradation
191508,UPF1_Nter_0h,HCT116_UPF1_AID_degradation,UPF1 AID degradation
